"totales","Robo_pv"
1251731,134364
1743703,188933
1752245,195342
1406049,138640
1706575,174195
2211111,223569
1592174,180594
1828911,194254
1923947,198895
2037877,219623
2796350,287167
2812446,224132
1449285,148843
1741092,228469
1759424,221810
1340514,147179
1631596,177698
1811656,222703
1382100,157378
1717107,199740
1768995,201715
1865606,220673
2542044,260438
2785469,246484
1900578,186953
2595733,299733
2662186,300116
1891696,187310
2416640,256120
2642589,306110
2240921,256072
2613253,263932
2204692,223112
2312757,249047
3252110,345707
3853923,338773
2386909,222415
2886517,286780
3059545,300022
2235361,203441
2870411,269866
3330756,316662
2372528,237219
2979576,256254
2865489,244980
3028699,252599
3848295,342084
4584589,317766
2292100,202986
3081231,316438
3293042,307119
2269956,203532
3060267,269862
3270875,358574
2453790,221841
3014002,258615
2682240,228712
2615913,256428
3854426,327402
4741254,355765
1896804,174350
2523387,268358
2427545,249745
1910385,185680
2596897,216581
2986831,291036
2038857,179904
2254645,200362
2506843,219221
2451868,239414
3596627,299837
4102388,258157
2007182,169352
2467860,248967
2590173,239057
1897141,161203
2606136,250088
3052136,300303
2234930,210117
2345073,220836
2559188,241378
2674830,244235
3809736,340317
4391401,286327
2255291,188339
2758080,268888
2702202,270958
2114864,186761
2840673,250201
3173103,326561
2331001,235408
2692241,243045
2989031,265370
3147699,258793
4095794,342522
4452186,285913
2330040,188339
2760036,268888
3136834,270958
2066958,186761
2858765,250201
3127512,326561
2423601,235408
2578603,243045
2692431,265370
2699435,258793
3767985,342522
4303854,285913
2300309,185970
2963248,273291
2952823,288800
2144817,190627
2603445,236017
2866092,259513
2167232,172323
2218609,178837
2358476,207224
2454378,222350
3334720,259079
3453767,261835
